case_id,date,symbol,timeframe,direction,main_signal,signal_chain,pattern_type,market_context,ema_context,divergence_code,vpa_type,zone_score,trigger_break,pb_confirmed,tc_present,exh_present,result,state,next_expected_state,lifecycle_status,outcome_bars_10,outcome_bars_20,outcome_bars_50,max_favorable_move,max_adverse_move,screenshot_path,case_file_path,notes
CASE-0001,2026-07-05,BTCUSDT,30m,LONG,TC-L,TC-L,TrendContinuation,TrendUp,AboveEMA50,None,Unknown,NA,NA,NA,Yes,No,Unknown,SignalCaptured,Outcome10,Open,Unknown,Unknown,Unknown,NA,NA,screenshots/BTCUSDT/2026-07-05_BTCUSDT_30m_TC-L_unknown.png,cases/trend_continuation/CASE-0001_BTCUSDT_30m_TC-L.md,第一张BTC趋势延续案例，等待复盘确认
CASE-0002,2026-07-07,BTCUSDT,Unknown,SHORT,TC-S,TC-S,TrendContinuation,Expansion,Unknown,None,Unknown,NA,NA,NA,Yes,No,Unknown,SignalCaptured,Outcome10,Open,Unknown,Unknown,Unknown,NA,NA,screenshots/BTCUSDT/2026-07-07/fig1_BTC_TC-S_Acceleration.png,cases/trend_continuation/CASE-0002_BTCUSDT_Unknown_TC-S.md,Daily Review 图1：BTC_TC-S_Acceleration。下跌加速中的 TC-S 候选案例，等待 after 图确认是否延续。
CASE-0003,2026-07-07,BTCUSDT,Unknown,LONG,TC-L,TC-L,TrendContinuation,TrendUp,Unknown,None,Unknown,NA,NA,NA,Yes,No,Unknown,SignalCaptured,Outcome10,Open,Unknown,Unknown,Unknown,NA,NA,screenshots/BTCUSDT/2026-07-07/fig2_BTC_TrendRecovery_TC-L.png,cases/trend_continuation/CASE-0003_BTCUSDT_Unknown_TC-L.md,Daily Review 图2：BTC_TrendRecovery_TC-L。趋势恢复后的 TC-L 候选案例，等待后续确认。
CASE-0004,2026-07-07,BTCUSDT,Unknown,LONG,TC-L,TC-L,TrendContinuation,TrendUp,Unknown,None,Unknown,NA,NA,NA,Yes,No,Unknown,SignalCaptured,Outcome10,Open,Unknown,Unknown,Unknown,NA,NA,screenshots/BTCUSDT/2026-07-07/fig3_BTC_Gold_TC-L.png,cases/trend_continuation/CASE-0004_BTCUSDT_Unknown_TC-L.md,Daily Review 图3：BTC_Gold_TC-L。标记为 Gold Case：标准 BTC TC-L 趋势延续案例，等待后续结果确认。
CASE-0005,2026-07-07,BTCUSDT,Unknown,LONG,TC-L,TC-L,TrendContinuation,TrendUp,Unknown,None,Unknown,NA,NA,NA,Yes,No,Unknown,SignalCaptured,Outcome10,Open,Unknown,Unknown,Unknown,NA,NA,screenshots/BTCUSDT/2026-07-07/fig4_BTC_LateTrend_TC-L.png,cases/trend_continuation/CASE-0005_BTCUSDT_Unknown_TC-L.md,Daily Review 图4：BTC_LateTrend_TC-L。趋势后段的 TC-L 候选案例，等待后续确认是否属于 late trend 风险。
CASE-0006,2026-07-07,BTCUSDT,Unknown,LONG,TC-L,HTF Trend→LTF TC-L,TrendContinuation,TrendUp,Unknown,None,Unknown,NA,NA,NA,Yes,No,Unknown,SignalCaptured,Outcome10,Open,Unknown,Unknown,Unknown,NA,NA,screenshots/BTCUSDT/2026-07-07/fig5_BTC_HTF_Trend_LTF_TC.png,cases/trend_continuation/CASE-0006_BTCUSDT_Unknown_TC-L.md,Daily Review 图5：BTC_HTF_Trend_LTF_TC。标记为 Gold Case：高周期趋势背景下的低周期 TC-L 案例，等待后续确认。
CASE-0007,2026-07-07,BTCUSDT,MultiTF,LONG,L-ZONE / C-L / TC-L,L-ZONE→C-L→TC-L,TrendPullback,TrendUp,AboveEMA50,None,Unknown,NA,NA,NA,Yes,No,Unknown,SignalCaptured,Outcome10,Open,Unknown,Unknown,Unknown,NA,NA,screenshots/BTCUSDT/2026-07-07/2026-07-07_BTCUSDT_MultiTF_TrendPullback_L-ZONE_C-L_TC-L_unknown.png,cases/bullish/CASE-0007_BTCUSDT_MultiTF_L-ZONE_C-L_TC-L.md,图1：BTCUSDT。Pattern=TrendPullback。Main Signal=L-ZONE / C-L / TC-L。Rating=Normal Case。多周期截图，等待后续确认。
CASE-0008,2026-07-07,BTCUSDT,MultiTF,SHORT,TC-S,TC-S,TrendContinuation,TrendDown,BelowEMA50,None,Unknown,NA,NA,NA,Yes,No,Unknown,SignalCaptured,Outcome10,Open,Unknown,Unknown,Unknown,NA,NA,screenshots/BTCUSDT/2026-07-07/2026-07-07_BTCUSDT_MultiTF_TC-S_Good_unknown.png,cases/trend_continuation/CASE-0008_BTCUSDT_MultiTF_TC-S.md,图2：BTCUSDT。Pattern=TrendContinuation。Main Signal=TC-S。Rating=Good Case。多周期截图，等待后续确认。
CASE-0009,2026-07-08,BTCUSDT,MultiTF,SHORT,TC-S / S-ZONE HMR95,L-ZONE 失败 -> 反弹无力 -> S-ZONE/C-S -> TC-S -> 继续下压,TrendContinuation,Weak Recovery Failed -> TC-S Continuation,BelowEMA50,None,Unknown,NA,NA,NA,Yes,No,Unknown,Outcome20Recorded,Outcome50,Review20,10根K后，5m L-ZONE HMR95 未能突破 Trigger 62394；1m 从 TC-L / Recovery 转为 TC-S，随后价格跌破 62100 并进一步跌破 61900，说明反弹尝试失败，空头延续有效。目前继续等待 Outcome20 / Outcome50 确认，不提前关闭案例。,"20根K后，CASE-0009 仍处于 Weak Recovery Failed -> TC-S Continuation 观察链条中。5m / 1m 未重新转为有效多头，L-ZONE 失败后反弹无力，S-ZONE/C-S 后继续 TC-S 压制；价格围绕 61,600-61,650 测试，下方 61,400 仍是支撑观察位。当前只记录空头延续仍有效的中段表现，Result 继续保持 Unknown，等待 Outcome50 确认，不提前关闭案例。",Unknown,NA,NA,screenshots/BTCUSDT/2026-07-08/2026-07-08_BTCUSDT_MultiTF_TC-S_TrendDay_NoBottomFishing_unknown.png; screenshots/BTCUSDT/2026-07-08/CASE-0009_followup_weak_recovery_failed_tc_s_continuation.png; screenshots/BTCUSDT/2026-07-12/2026-07-12_BTCUSDT_MultiTF_EXH-L_TC-L_SZONE_WeakRecovery_followup.png; screenshots/BTCUSDT/2026-07-12/2026-07-12_BTCUSDT_MultiTF_EXH-L_TC-L_64k_Retest_followup.png,cases/trend_continuation/CASE-0009_BTCUSDT_MultiTF_TC-S.md,"7-8 Daily Review：BTCUSDT 多周期 Trend Day 案例。15m 与 5m 均为 Ctx=DN，最近有效信号为 TC-S；1m 只有 MACD 动能缓和/小反弹，没有 L-ZONE、LONG 或 PB-L，不属于反转。交易纪律：不逆势抄底，不追空，等待 5m 反抽 EMA20 后再次出现 TC-S 或 PB-S。Rating=Good Case，Gold Case=No，Research Value=High。

Review note: Follow-up 2026-07-08 ChatGPT DVCA Trading Desk Report：BTC 不新建独立 Case，作为 CASE-0009 follow-up。5m 出现 L-ZONE HMR95，但未突破 Trigger 62394；1m 从 TC-L 转为 TC-S。Market State=Recovery Attempt→Weak Recovery Failed Watch。Market Next Expected State=Continue Down 或 Reclaim Trigger。Result 保持 Unknown。

Review note: Follow-up 2026-07-08 BTCUSDT：Weak Recovery Failed / L-ZONE Failed Watch。Main Signal=TC-S。Signal Chain=L-ZONE HMR95→Trigger 未突破→TC-S→跌破 62100。Key Level：62394=5m 多头 Trigger，未突破；62230-62250=短线反弹失效参考；62100=已跌破；62060-61900=下方测试区。Next Expected State=Continue Down 或 EXH-L。5m 多头观察区未能转化为 LONG；1m 已重新转空；当前更像反弹失败后的空头延续，不支持做多。Result 保持 Unknown，等待 Outcome20 确认。

Review note: Follow-up 2026-07-08 BTCUSDT Outcome10：5m L-ZONE HMR95 未能突破 Trigger 62394；1m 从 TC-L / Recovery 转为 TC-S，随后跌破 62100 并进一步跌破 61900。反弹尝试失败，空头延续有效；Result 仍保持 Unknown，等待 Outcome20 / Outcome50，不提前关闭案例。

Review note: Follow-up 2026-07-08 BTCUSDT screenshot：State=Weak Recovery Failed -> TC-S Continuation。Main Signal=TC-S / S-ZONE HMR95。Signal Chain=L-ZONE 失败 -> 反弹无力 -> S-ZONE/C-S -> TC-S -> 继续下压。Key Levels：62,150-62,250=上方主要反抽压力；61,950-62,000=短线压力；61,600-61,650=当前测试区；61,400=下方支撑观察。当前高周期仍为 DN，5m/1m 继续空头延续；不支持做多，空仓不追最低，等反抽失败后的 TC-S 确认。Result 保持 Unknown，Lifecycle 继续等待 Outcome20 / Outcome50。

Review note: Follow-up 2026-07-08 BTCUSDT Outcome20：5m / 1m 未重新转为有效多头，L-ZONE 失败后反弹无力，S-ZONE/C-S 后继续 TC-S 压制；价格围绕 61,600-61,650 测试，61,400 为下方支撑观察位。Result 保持 Unknown，等待 Outcome50，不提前关闭。

Review note: Follow-up 2026-07-09 11:03 BTCUSDT：State=Weak Recovery Failed→TC-S Continuation。Main Signal=TC-S。Signal Chain=L-ZONE 尝试反弹→Trigger 未突破→TC-S→继续下压。Key Levels：62,300-62,400=上方主要反转确认区；62,000-62,150=短线反抽压力区；61,750-61,850=当前价格争夺区；61,600-61,650=下方短线支撑；61,400=下一支撑观察区。当前 15m / 5m / 1m 仍偏空，反弹未升级为 LONG / PB-L，不支持做多；空仓不追最低，等反抽失败后的 TC-S 确认。Result 保持 Unknown。Lifecycle 当前已是 Review20→Outcome50，继续等待 Outcome50。Screenshot=screenshots/BTCUSDT/2026-07-09/2026-07-09_BTCUSDT_MultiTF_TC-S_WeakRecoveryFailed_followup.png。

Review note: Follow-up 2026-07-09 11:26 BTCUSDT：State=TC-S Continuation→1m L-ZONE Recovery Watch。Main Signal=L-ZONE HMR95 / TC-S。Signal Chain=TC-S 下跌→低位出现 1m L-ZONE HMR95→短线反弹→5m/15m 尚未确认多头。Key Levels：62,300-62,400=上方主要反转确认区；62,000-62,150=当前第一反抽压力区；61,880-61,920=当前 1m L-ZONE / Trigger 附近；61,750-61,800=短线支撑；61,400-61,600=下方支撑观察区。当前 1m 出现 L-ZONE，说明低位追空风险上升；但 5m/15m 仍为 DN，未出现 LONG/PB-L，因此不支持正式做多。Result 保持 Unknown。Lifecycle 当前已是 Review20→Outcome50，继续等待 Outcome50。Screenshot=screenshots/BTCUSDT/2026-07-09/2026-07-09_BTCUSDT_MultiTF_1m_L-ZONE_RecoveryWatch_followup.png。

Review note: Follow-up 2026-07-09 12:40 BTCUSDT：State=TC-S Continuation→L-ZONE Recovery→Recovery Upgrade。Main Signal=TC-L / Recovery。Signal Chain=TC-S 下跌→低位 L-ZONE / C-L→1m TC-L→5m Ctx 转 UP→反弹升级观察。Key Levels：62,400-62,600=上方压力区；62,250-62,300=当前冲高区；62,000-62,150=回踩确认区；61,850-61,900=反弹结构防守区；61,600-61,750=前低 / L-ZONE 区域。当前 1m 和 5m 修复明显增强，低位追空风险上升；但 15m 尚未完全翻多，未出现明确 PB-L / LONG 前不建议追多。Result 保持 Unknown。Lifecycle 继续等待 Outcome20 / Outcome50。Screenshot=screenshots/BTCUSDT/2026-07-09/2026-07-09_BTCUSDT_MultiTF_RecoveryUpgrade_followup.png。

Review note: Follow-up 2026-07-09 13:12 BTCUSDT：State=L-ZONE Recovery→TC-L Breakout→S-ZONE Pressure。Main Signal=TC-L / S-ZONE HMR100。Signal Chain=TC-S 下跌→低位 L-ZONE / C-L→1m TC-L→5m TC-L→15m TC-L→当前 5m 出现 S-ZONE HMR100。Key Levels：63,000-63,200=下一上方压力区；62,800-62,900=当前高位推进区；62,500-62,600=第一回踩确认区；62,300-62,400=关键突破位 / 多头结构防守区；62,000-62,150=更深回踩防守区。当前 BTC 已经从空头延续转为多头修复延续，15m/5m/1m 均明显转强；但 5m 出现 S-ZONE HMR100，说明进入压力区，不建议追高，等待回踩确认或 S-ZONE 失效信号。Result 保持 Unknown。Lifecycle 继续等待 Outcome20 / Outcome50。Screenshot=screenshots/BTCUSDT/2026-07-09/2026-07-09_BTCUSDT_MultiTF_TC-L_Breakout_S-ZONEPressure_followup.png。

Review note: Follow-up 2026-07-09 14:58 BTCUSDT：State=L-ZONE Recovery→TC-L Breakout→S-ZONE Pressure。Main Signal=TC-L / S-ZONE HMR100。Signal Chain=TC-S 下跌→低位 L-ZONE / C-L→1m TC-L→5m TC-L→15m TC-L→当前 5m 出现 S-ZONE HMR100。Key Levels：63,000-63,200=下一上方压力区；62,800-62,900=当前高位推进区；62,500-62,600=第一回踩确认区；62,300-62,400=关键突破位 / 多头结构防守区；62,000-62,150=更深回踩防守区。当前 BTC 已经从空头延续转为多头修复延续，15m/5m/1m 均明显转强；但 5m 出现 S-ZONE HMR100，说明进入压力区，不建议追高，等待回踩确认或 S-ZONE 失效信号。Result 保持 Unknown。Lifecycle 当前已是 Review20→Outcome50，继续等待 Outcome50。Screenshot 未归档：/Users/linxiong/Desktop/截屏2026-07-09 14.58.23.png 文件不存在。

Review note: Follow-up 2026-07-09 15:29 BTCUSDT：State=TC-L Breakout→S-ZONE Pressure→High Range Consolidation。Main Signal=TC-L / S-ZONE HMR100。Signal Chain=低位 L-ZONE / C-L→1m TC-L→5m TC-L→15m TC-L→价格接近 63,000→5m S-ZONE HMR100→当前高位横盘消化。Key Levels：63,000-63,200=上方压力 / 突破确认区；62,900-63,000=当前高位震荡区；62,750-62,850=第一回踩观察区；62,600-62,700=重要回踩确认区；62,500-62,600=多头短线防守区；62,300-62,400=前突破位 / 深度防守区。BTC 15m/5m 仍偏 UP，但 5m S-ZONE HMR100 仍提示高位压力。当前不追多，不主动空，等待回踩确认或 63,000 上方有效突破。Result 保持 Unknown。Lifecycle 当前已是 Review20→Outcome50，继续等待 Outcome50。Screenshot=screenshots/BTCUSDT/2026-07-09/2026-07-09_BTCUSDT_MultiTF_HighRangeConsolidation_followup.png。

Review note: Follow-up 2026-07-09 16:53 BTCUSDT：State=S-ZONE Pressure→Pullback→L-ZONE Recovery→TC-L Resume。Main Signal=L-ZONE HR85 / TC-L。Signal Chain=低位 L-ZONE/C-L→TC-L 上涨→5m S-ZONE HMR100 高位压力→回踩→5m L-ZONE HR85→1m TC-L 恢复。Key Levels：63,000-63,200=上方压力 / 突破确认区；62,850-62,950=当前反弹压力区；62,750-62,800=当前短线支撑；62,600-62,700=5m L-ZONE 关键支撑区；62,500-62,600=重要回踩确认区；62,300-62,400=前突破位 / 深度防守区。当前 5m 回踩后出现 L-ZONE HR85，1m 重新 TC-L，说明回踩暂时守住；但价格仍在 62,850-62,950 压力区附近，不建议追多，等待站稳或二次回踩确认。Result 保持 Unknown。Lifecycle 当前已是 Review20→Outcome50，继续等待 Outcome50。Screenshot=screenshots/BTCUSDT/2026-07-09/2026-07-09_BTCUSDT_MultiTF_Pullback_LZONE_TC-L_Resume_followup.png。

Review note: Follow-up 2026-07-10 11:53 BTCUSDT：State=L-ZONE Recovery→30m UP→TC-L Continuation→1m S-ZONE Pressure。Main Signal=TC-L / S-ZONE HMR100。Signal Chain=TC-S 下跌→低位 L-ZONE/C-L→1m TC-L→5m TC-L→15m TC-L→30m Ctx 转 UP→当前价格接近 64,000，1m 出现 S-ZONE HMR100 高位压力。Key Levels：64,000-64,200=当前上方压力 / 突破确认区；63,800-63,950=当前高位震荡区；63,500-63,650=第一回踩观察区；63,200-63,400=重要回踩确认区；62,900-63,000=前突破位；62,500-62,600=深度防守区。BTC 30m、15m、5m 均已明显转强，不能再按强空头处理；但 1m 出现 S-ZONE HMR100，高位不建议追多，等待回踩确认。Result 保持 Unknown。Lifecycle 当前已是 Review20→Outcome50，继续等待 Outcome50。Screenshot=screenshots/BTCUSDT/2026-07-10/2026-07-10_BTCUSDT_MultiTF_30mUP_TC-L_SZONEPressure_followup.png。

Review note: Follow-up 2026-07-10 12:38 BTCUSDT：State=30m UP→TC-L Continuation→High S-ZONE Pressure Watch。Main Signal=TC-L / S-ZONE HMR100。Signal Chain=低位 L-ZONE/C-L→多周期 TC-L 修复→30m Ctx UP→价格维持 63,800-64,000 高位震荡→上方 S-ZONE 压力仍在。Key Levels：64,000-64,200=当前上方压力 / 突破确认区；63,800-63,950=当前高位震荡区；63,500-63,650=第一回踩观察区；63,200-63,400=重要回踩确认区；62,900-63,000=前突破位；62,500-62,600=深度防守区。BTC 仍不能按强空头处理，但高位追多风险增加；继续等待回踩确认或 64,000-64,200 有效突破。Result 保持 Unknown。Lifecycle 当前已是 Review20→Outcome50，继续等待 Outcome50。Screenshot=screenshots/BTCUSDT/2026-07-10/2026-07-10_BTCUSDT_MultiTF_30mUP_TC-L_1238_followup.png。

Review note: Follow-up 2026-07-10 16:17 BTCUSDT：State=L-ZONE Recovery→TC-L Continuation→Breakout Extension→Momentum Push。Main Signal=TC-L / Breakout Extension。Signal Chain=低位 L-ZONE/C-L→1m TC-L→5m TC-L→15m TC-L→突破 64,000→当前冲到 64,200 附近。Key Levels：64,300-64,500=下一上方压力区；64,150-64,250=当前冲高区；64,000-64,100=关键突破位 / 第一回踩支撑；63,800-63,950=第一重要回踩确认区；63,500-63,650=深一层多头防守区；63,200-63,400=多头结构防守区。BTC 当前 15m/5m/1m 均为 UP，属于多头突破延续；但 1m 已急拉，短线不建议追多，等待 64,000 或 63,850 回踩确认。Result 保持 Unknown。Lifecycle 当前已是 Review20→Outcome50，继续等待 Outcome50。Screenshot=screenshots/BTCUSDT/2026-07-10/2026-07-10_BTCUSDT_MultiTF_BreakoutExtension_MomentumPush_followup.png。

Review note: Follow-up 2026-07-12 12:20 BTCUSDT：State=15m EXH-L Bounce→5m TC-L Weak Recovery→1m S-ZONE Pullback。Main Signal=15m EXH-L HMR95 / 5m FLAT TC-L / 1m S-ZONE HMR100。Signal Chain=15m 下跌后出现 EXH-L HMR95→1m/5m 出现反弹修复→5m Last=TC-L→1m 反弹到 S-ZONE HMR100→当前从 1m 压力区回落，价格仍在 64,000 上方。Key Levels：64,220-64,300=反抽强压力区；64,150-64,220=当前上方短压；64,080-64,120=当前争夺区；63,950-64,000=核心多空分界；63,800-63,900=第一支撑区；63,650-63,750=深一层支撑。当前不是强多恢复，而是 15m 下跌后的弱修复。5m 有 TC-L，但仍为 FLAT；1m 到 S-ZONE HMR100 后回落。重点观察 64,000 是否守住，以及 64,150-64,220 反抽是否失败。Result 保持 Unknown。Lifecycle 当前已是 Review20→Outcome50，继续等待 Outcome50。Screenshot=screenshots/BTCUSDT/2026-07-12/2026-07-12_BTCUSDT_MultiTF_EXH-L_TC-L_SZONE_WeakRecovery_followup.png。

Review note: Follow-up 2026-07-12 19:36 BTCUSDT：State=15m EXH-L Bounce→1m TC-L Recovery→64k Retest。Main Signal=15m FLAT EXH-L HMR95 / 5m FLAT Weak Recovery / 1m UP TC-L。Signal Chain=15m 下跌后出现 EXH-L HMR95→1m L-ZONE/C-L 止跌→1m 多次 TC-L 反弹→5m 从低位反弹回均线组→当前价格重新测试 64,000 关键反压。Key Levels：64,150-64,220=反抽强压力区；64,000-64,080=当前核心争夺区；63,900-63,950=短线回踩支撑；63,750-63,850=反弹起涨后的重要支撑；63,650-63,700=前低支撑区；64,300-64,500=上方更大压力区。当前 BTC 是 15m 弱修复背景下，1m 转 UP/TC-L 后重新测试 64,000。5m 仍是 FLAT，说明反弹还没有完全升级。当前不追多，观察 64,000 是否站稳；若站稳并回踩不破，再观察多头延续；若站不上且 1m 转 TC-S，则按反抽失败处理。Result 保持 Unknown。Lifecycle 当前已是 Review20→Outcome50，继续等待 Outcome50。Screenshot=screenshots/BTCUSDT/2026-07-12/2026-07-12_BTCUSDT_MultiTF_EXH-L_TC-L_64k_Retest_followup.png。"
CASE-0010,2026-07-08,BTCUSDT,1D+30m,SHORT,Context Shift,1D偏多转弱→30m Ctx DN→Context Shift,TransitionToTrendDown,TransitionDown,EMACross,None,Unknown,NA,NA,NA,No,No,Unknown,SignalCaptured,Outcome10,Open,Unknown,Unknown,Unknown,NA,NA,screenshots/BTCUSDT/2026-07-08/2026-07-08_BTCUSDT_1D_30m_ContextShift_Good_unknown.png,cases/state_transition/CASE-0010_BTCUSDT_1D_30m_Context_Shift.md,7-8 Trading Desk Report 图1：BTCUSDT 1D+30m。Pattern=TransitionToTrendDown，Main Signal=Context Shift，Rating=Good Case。1D 回落中但长期结构未完全破坏；30m Ctx=DN，价格跌破短期均线并靠近 EMA50，MACD 死叉向零轴下方扩展，RSI 接近弱势区域。研究价值：观察 30m 如何从震荡/转弱过渡为空头背景；当前不定义为 LONG 反转，结果等待 10/20/50 根K复盘。
